City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
Belyy Yar,53.6039,91.3903,62.49,88,40,4.47,RU,1628099986
San Patricio,28.017,-97.5169,92.88,58,86,4.45,US,1628099986
Tura,25.5198,90.2201,75.33,97,100,3.67,IN,1628099987
Pauna,5.6586,-73.9825,79.83,55,100,2.44,CO,1628099987
Paamiut,61.994,-49.6678,45.72,89,100,5.73,GL,1628099988
Corocito,15.75,-85.7833,90.95,35,100,4.88,HN,1628099988
Sorong,-0.8833,131.25,77.56,86,100,4.92,ID,1628099989
Marzuq,14.4,46.4667,81.05,63,53,9.75,YE,1628099989
Teknāf,20.8624,92.3058,78.94,91,63,3.42,BD,1628099990
Yhú,-25.05,-55.9167,75.88,28,73,4.61,PY,1628099990
Margate,51.3813,1.3862,69.31,63,87,1.99,GB,1628099991
Prince Rupert,54.3161,-130.3201,64.49,87,90,10.36,CA,1628099991
Siparia,10.1333,-61.5,89.46,78,1,4.0,TT,1628099992
Umluj,25.0213,37.2685,92.66,47,76,4.79,SA,1628099992
Cabra,37.4725,-4.4421,94.66,25,19,1.99,ES,1628099993
Praia,14.9215,-23.5087,81.14,83,75,4.61,CV,1628099993
Dalvik,65.9702,-18.5286,57.13,78,94,6.2,IS,1628099994
Suntar,62.1444,117.6319,61.81,97,99,4.36,RU,1628099994
Rocha,-34.4833,-54.3333,63.18,58,14,5.35,UY,1628099967
Turka,49.1541,23.0297,64.26,79,90,1.92,UA,1628099995
Ulaangom,49.9811,92.0667,65.3,61,56,5.28,MN,1628099995
Alta Floresta,-9.8756,-56.0861,96.62,24,0,9.22,BR,1628099995
Springdale,36.1867,-94.1288,83.57,65,75,0.0,US,1628099905
Tocopilla,-22.092,-70.1979,68.59,53,5,5.28,CL,1628099996
Bārmer,25.75,71.3833,84.99,64,75,18.12,IN,1628099996
Jieshi,22.8134,115.8257,82.94,87,99,17.74,CN,1628099997
Raja,8.4596,25.678,74.61,84,53,4.45,SS,1628099997
Salym,60.0625,71.4789,58.03,84,45,1.32,RU,1628099997
Caucayá,-0.1934,-74.7819,88.84,41,43,4.94,CO,1628099998
Vaitape,-16.5167,-151.75,78.96,76,62,14.27,PF,1628099780
Abu Samrah,35.3029,37.1841,91.53,28,8,13.29,SY,1628099998
Saint-Augustin,51.226,-58.6502,71.49,45,31,17.43,CA,1628099887
Ambilobe,-13.2,49.05,70.52,69,65,4.79,MG,1628099999
Zhangaözen,43.3,52.8,92.34,17,20,11.32,KZ,1628099999
Rio Verde de Mato Grosso,-18.9181,-54.8442,85.75,13,100,6.2,BR,1628100000
Zhigansk,66.7697,123.3711,58.37,55,49,3.62,RU,1628100000
Lumeje,-11.55,20.7833,69.6,23,0,5.14,AO,1628100001
Herat Province,34.5,62.0,84.36,16,0,24.07,AF,1628100001
Tonantins,-2.8731,-67.8022,93.06,34,10,3.58,BR,1628100003
Puerto Baquerizo Moreno,-0.9,-89.6,70.86,75,45,14.54,EC,1628100003
Ixtapa,20.7,-105.2,88.23,74,81,4.0,MX,1628100004
Darhan,49.4867,105.9228,59.23,79,87,4.52,MN,1628100004
Poum,-20.2333,164.0167,70.3,73,100,7.34,NC,1628100005
Pangnirtung,66.1451,-65.7125,52.95,73,100,12.55,CA,1628100006
Laas,46.6166,10.7002,58.62,98,100,1.59,IT,1628100007
Qingdao,36.0986,120.3719,78.69,89,12,10.09,CN,1628100008
Narsaq,60.9167,-46.05,46.02,95,100,0.2,GL,1628100009
Baruun-Urt,46.6806,113.2792,54.5,90,95,7.07,MN,1628100009
Nicoya,10.1483,-85.452,85.89,68,48,5.06,CR,1628100010
Guangzhou,23.1167,113.25,83.88,85,100,8.41,CN,1628099949
Koygorodok,60.445,50.9968,66.36,73,100,3.89,RU,1628100011
Port Macquarie,-31.4333,152.9167,51.62,60,0,11.56,AU,1628100012
Cayenne,4.9333,-52.3333,84.09,74,75,3.0,GF,1628100012
Tot'ma,59.9747,42.7642,54.0,75,5,0.49,RU,1628100013
Hailey,43.5196,-114.3153,63.05,40,1,1.99,US,1628100014
São Filipe,14.8961,-24.4956,78.04,87,94,10.71,CV,1628100014
São Manuel,-22.7311,-48.5706,71.08,37,13,9.69,BR,1628100007
São José da Coroa Grande,-8.8978,-35.1478,75.49,84,73,13.65,BR,1628100015
Yelizovo,53.1873,158.3805,42.51,86,2,7.96,RU,1628100016
Tarakan,3.3,117.6333,81.48,75,48,2.44,ID,1628100016
Praia da Vitória,38.7333,-27.0667,78.76,81,6,11.21,PT,1628100017
Saint-Ambroise,48.5501,-71.3324,73.58,40,0,4.83,CA,1628100017
Imbituba,-28.24,-48.6703,63.82,76,91,5.75,BR,1628100018
Huejuquilla el Alto,22.6,-103.8667,74.71,52,44,4.94,MX,1628100018
Laguna,38.421,-121.4238,100.24,49,1,4.0,US,1628100019
Oistins,13.0667,-59.5333,82.98,68,6,12.41,BB,1628100020
Puerto Rico,-26.796,-55.024,78.33,26,27,2.24,AR,1628100021
Salamanca,40.8333,-6.0,80.38,24,6,13.53,ES,1628100021
Kastamonu Province,41.5,33.6667,66.29,75,0,3.47,TR,1628100022
Nioro,13.35,-15.75,82.81,78,100,8.5,GM,1628100023
Soyaux,45.65,0.2,65.84,90,90,18.41,FR,1628099860
Pontianak,-0.0333,109.3333,76.98,100,75,3.44,ID,1628100024
Leningradskiy,69.3833,178.4167,38.5,95,99,3.6,RU,1628100024
Mayo,38.8876,-76.5119,83.43,58,100,8.99,US,1628100025
Bodden Town,19.2833,-81.25,83.25,72,39,7.07,KY,1628100025
Bandarbeyla,9.4942,50.8122,77.41,82,8,30.69,SO,1628100026
Al'met'yevsk,54.9044,52.3154,72.07,69,94,8.81,RU,1628100027
Dauphin,51.1494,-100.0502,88.36,31,97,9.71,CA,1628100027
Japura,-0.3167,102.35,74.79,96,93,2.28,ID,1628100028
Darnah,32.767,22.6367,87.75,48,0,10.71,LY,1628100029
Linqiong,30.4159,103.4609,74.57,93,97,3.15,CN,1628100029
Hammerfest,70.6634,23.6821,49.73,93,75,11.5,NO,1628100030
Haines Junction,60.7522,-137.5108,64.09,59,82,2.51,CA,1628100031
Fare,-16.7,-151.0167,79.07,73,86,15.55,PF,1628100031
Hamilton,39.1834,-84.5333,83.61,46,4,3.0,US,1628099755
Arlit,18.7369,7.3853,100.02,23,15,15.14,NE,1628100032
Ovalle,-30.5983,-71.2003,71.78,41,0,4.34,CL,1628100033
Bayanday,53.0661,105.5139,59.88,75,77,2.84,RU,1628100033
Ubari,26.5921,12.7805,96.84,10,0,6.4,LY,1628099767
Manta,-0.95,-80.7333,73.99,84,100,11.21,EC,1628100034
Usinsk,65.9939,57.5281,65.12,87,48,6.46,RU,1628100035
Southwick,42.0548,-72.7704,78.46,65,100,4.0,US,1628100035
Queanbeyan,-35.35,149.2333,48.42,79,40,13.8,AU,1628100036
São Gabriel da Cachoeira,-0.1303,-67.0892,79.61,71,94,2.91,BR,1628100036
Charcas,23.1333,-101.1167,72.72,48,71,13.78,MX,1628100037
Kiryat Gat,31.61,34.7642,90.39,50,0,6.15,IL,1628099942
Yarmouth,41.7057,-70.2286,74.44,87,100,5.99,US,1628100038
Bathsheba,13.2167,-59.5167,83.95,69,10,12.5,BB,1628100038
Iberia,29.9502,-91.7507,89.96,64,25,9.46,US,1628100039
Tuatapere,-46.1333,167.6833,35.82,82,100,3.49,NZ,1628100039
Marovoay,-16.1,46.6333,80.74,47,49,11.79,MG,1628100040
Chibuto,-24.6867,33.5306,61.18,72,0,7.47,MZ,1628100040
Miramar,25.9873,-80.2323,87.01,78,90,14.97,US,1628100041
Pitimbu,-7.4706,-34.8086,78.03,74,80,11.61,BR,1628100041
Kendari,-3.945,122.4989,74.98,89,100,2.24,ID,1628099823
Murashi,59.3999,48.9615,60.13,77,100,7.07,RU,1628100042
Ahipara,-35.1667,173.1667,57.38,91,100,13.33,NZ,1628100043
Urucará,-2.5364,-57.76,95.36,37,57,1.83,BR,1628100043
Balad,34.0164,44.1453,102.88,13,2,8.7,IQ,1628100044
Forestville,38.8451,-76.875,83.34,51,1,3.0,US,1628100044
Da’an,33.0558,106.2958,72.03,85,71,2.37,CN,1628100045
Mingguang,32.7802,117.9638,75.27,94,2,7.61,CN,1628100045
Cherskiy,68.75,161.3,40.95,91,100,4.99,RU,1628100046
Guerrero Negro,27.9769,-114.0611,80.82,55,4,9.08,MX,1628100046
Dzilam González,21.2833,-88.9333,96.26,39,6,4.41,MX,1628100047
Auki,-8.7676,160.7034,73.92,86,6,4.52,SB,1628100047
Clyde River,70.4692,-68.5914,37.9,90,100,4.65,CA,1628100048
Cervo,43.6702,-7.4101,77.2,77,41,13.18,ES,1628100049
Shingū,33.7333,135.9833,80.91,89,0,4.21,JP,1628100049
Winnemucca,40.973,-117.7357,91.74,17,3,4.34,US,1628100050
Ursulo Galván,22.7333,-98.3,92.01,47,88,5.99,MX,1628100050
Agadir,30.4202,-9.5982,75.65,68,10,6.51,MA,1628100051
Bayangol,50.6977,103.4656,50.13,92,18,2.75,RU,1628100051
Daru,-9.0763,143.2092,75.96,88,77,13.96,PG,1628100052
Monte Patria,-30.6919,-70.9467,75.6,27,0,4.85,CL,1628100052
Dutlwe,-23.9833,23.9,61.52,29,0,7.25,BW,1628100053
Nago,26.5881,127.9761,80.46,94,94,20.51,JP,1628100053
Bakchar,57.0186,82.0711,56.95,97,74,3.96,RU,1628100054
Dhidhdhoo,6.8833,73.1,82.67,78,100,9.69,MV,1628100054
Serebryanyy Bor,56.8,124.8,57.63,96,100,2.04,RU,1628100055
Miandrivazo,-19.5167,45.4667,79.38,39,76,4.74,MG,1628100056
Esperance,-33.8667,121.9,46.24,83,0,5.48,AU,1628100056
Jackson,42.4165,-122.8345,76.15,28,1,3.06,US,1628099930
Mānsa,29.9833,75.3833,86.54,67,50,9.42,IN,1628100057
Rafai,4.95,23.9167,70.7,91,91,1.9,CF,1628100057
Maralal,1.0968,36.698,64.26,60,85,11.1,KE,1628100058
Ribeira Brava,32.65,-17.0667,78.71,70,27,2.82,PT,1628100058
Nerchinskiy Zavod,51.3088,119.61,55.83,96,100,3.94,RU,1628100059
Komárno,47.7636,18.1226,76.71,55,69,5.1,SK,1628100059
Mujiayingzi,42.1167,118.7833,70.81,68,99,8.81,CN,1628100060
Barletta,41.3118,16.2908,95.27,53,47,3.0,IT,1628100060
Killybegs,54.6333,-8.45,62.46,69,98,3.89,IE,1628100061
Ust-Maya,60.4167,134.5333,53.55,77,46,1.12,RU,1628100062
Ryōtsu-minato,38.0833,138.4333,80.47,83,7,0.98,JP,1628100062
Punta Alta,-38.8759,-62.0736,67.68,34,2,10.78,AR,1628100063
Pokaran,26.9167,71.9167,92.52,44,95,19.46,IN,1628100063
Norrtälje,59.758,18.705,66.29,58,66,7.92,SE,1628100063
Prainha,-1.8,-53.48,92.77,38,5,2.8,BR,1628100064
Zavodoukovsk,56.5042,66.5515,66.0,63,96,2.93,RU,1628100064
Fort Smith,35.3859,-94.3986,85.37,62,65,3.0,US,1628100065
Anshun,26.25,105.9333,67.21,87,0,3.27,CN,1628100065
Kaabong,3.4836,34.1492,68.85,54,45,7.76,UG,1628100066
Fraserburgh,57.6874,-2.0184,66.43,65,99,18.43,GB,1628100067
Coos Bay,43.3665,-124.2179,68.23,100,43,9.28,US,1628100067
Taylorville,39.5489,-89.2945,81.93,50,75,6.91,US,1628100067
Whitianga,-36.8333,175.7,54.01,92,100,5.46,NZ,1628099978
Chibombo,-14.6569,28.0706,59.83,30,0,5.97,ZM,1628100068
Tabory,58.5198,64.5495,63.91,91,82,5.21,RU,1628100069
Namwala,-15.7504,26.4384,64.62,31,0,5.75,ZM,1628100069
Bac Lieu,9.285,105.7244,80.38,84,100,12.06,VN,1628100070
Port Blair,11.6667,92.75,81.64,84,81,17.49,IN,1628100070
Monrovia,6.3005,-10.7969,80.37,76,70,10.96,LR,1628100070
Patti,31.2808,74.8572,86.07,72,54,5.26,IN,1628100071
Beaverlodge,55.2166,-119.4361,80.13,32,49,4.88,CA,1628100071
Sarakhs,36.5449,61.1577,90.77,15,13,9.31,IR,1628100072
Novikovo,51.1537,37.8879,66.61,53,50,5.21,RU,1628100072
Kaeo,-35.1,173.7833,59.32,89,100,12.35,NZ,1628100073
Gambo,4.6482,22.2633,73.58,82,75,1.97,CF,1628100073
Falmouth,50.1544,-5.0711,65.79,100,91,1.99,GB,1628100074
Kayerkan,69.3497,87.7602,62.06,67,52,3.51,RU,1628100074
Raudeberg,61.9875,5.1352,64.0,72,97,14.63,NO,1628100074
Umarkot,25.3616,69.7362,86.41,61,90,20.69,PK,1628100075
Vadu Paşii,45.1667,26.9,70.11,89,51,6.35,RO,1628100075
Hurghada,27.2574,33.8129,87.85,53,1,10.22,EG,1628100010
Kingaroy,-26.5333,151.8333,47.03,63,2,13.56,AU,1628100076
Belvedere Marittimo,39.6179,15.8617,85.5,42,12,1.81,IT,1628100076
Comodoro Rivadavia,-45.8667,-67.5,60.21,39,100,3.71,AR,1628100077
Palmas,-10.2128,-48.3603,96.08,18,15,6.13,BR,1628100077
Luganville,-15.5333,167.1667,72.72,81,33,4.47,VU,1628100078
Miyako,39.6367,141.9525,75.31,86,56,4.36,JP,1628100078
Neuquén,-38.9516,-68.0591,58.89,36,0,2.3,AR,1628099958
Copiapó,-27.3667,-70.3333,74.89,38,16,6.76,CL,1628100079
Wanning,18.8003,110.3967,80.87,86,100,7.4,CN,1628100079
Lerdo,25.5333,-103.5333,80.47,57,75,0.0,MX,1628100080
Thomaston,32.8882,-84.3266,85.01,60,40,1.01,US,1628100081
Posse,-14.0931,-46.3694,85.3,22,4,8.08,BR,1628099829
Bilibino,68.0546,166.4372,43.68,85,100,3.62,RU,1628100082
Wilkie,52.4168,-108.7014,80.71,35,32,12.24,CA,1628100049
Gravdal,68.1214,13.5031,53.49,94,75,2.3,NO,1628100083
Mormugao,15.4,73.8,79.09,87,67,17.0,IN,1628100083
Pokhara,28.2333,83.9833,72.23,93,100,3.24,NP,1628099939
Niono,14.2526,-5.993,86.32,58,47,12.55,ML,1628100084
Varhaug,58.6147,5.6457,62.47,70,26,6.15,NO,1628100085
Coolum Beach,-26.5333,153.1,54.1,64,0,16.35,AU,1628100085
